,api_id,source_api_id,api_name,source_name
0,7,641043,seemore,AACT
1,13,749086,"3,4-methylenedioxymethamphetamine hydrochloride",AACT
2,19,511796,feppa,AACT
3,24,498717,68ga-psma-hbed-cc,AACT
4,26,809701,ml-10,AACT
5,31,736084,anti-kir,AACT
6,42,884032,t-cell depleted peripheral blood stem cells,AACT
7,55,644746,copeptin,AACT
8,67,678990,deuterated 3-methylhistidine,AACT
9,70,779041,(pg13-a(f/k-f-sgsg-t2a-b (opt) (2g-1 tcr) retroviral vector-transduced lymphocyte,AACT
10,76,542919,(r)-propafenone,AACT
11,85,521344,(s)-4-(3-fluoropropyl)-l-glutamic acid,AACT
12,88,542920,(s)-propafenone,AACT
13,89,675711,"(s,s)-[11c]mrb",AACT
14,91,521896,hep500,AACT
15,121,DB06690,nitrous oxide,repoDB
16,131,DB08868,fingolimod,repoDB
17,142,DB11687,e-6201,DrugBank
18,216,DB01047,fluocinonide,repoDB
19,217,DB00324,fluorometholone,repoDB
20,220,2070,pazufloxacin mesylate,Drug Central
21,250,758349,rvx-100,AACT
22,328,DB00547,desoximetasone,repoDB
23,329,731226,eiso,AACT
24,340,694125,fludiazine,AACT
25,355,641598,gsk1940029,AACT
26,385,4273,tin difluoride,Drug Central
27,396,DB00875,flupentixol,repoDB
28,401,536133,13c10-retinyl-acetate,AACT
29,406,DB01270,ranibizumab,repoDB
30,408,564935,lft-0002,AACT
31,441,DB01656,roflumilast,repoDB
32,464,607096,opium tincture,AACT
33,500,544929,natrium chloratum,AACT
34,542,654941,000-0551,AACT
35,543,750229,417,AACT
36,558,DB12256,bamosiran,DrugBank
37,592,24424,zinc sulphate,PubChem
38,650,DB12441,tavilermide,DrugBank
39,673,520777,1-13c acetate,AACT
40,677,811255,1-mna,AACT
41,679,DB12452,caprylic alcohol,DrugBank
42,682,DB11737,icotinib,DrugBank
43,684,840749,optive,AACT
44,690,DB12675,pf-04995274,DrugBank
45,694,806557,di-leu16-il2,AACT
46,695,908103,il-2,AACT
47,700,561952,icotinib hydrochloride,AACT
48,702,561667,wol071-007,AACT
49,703,DB00742,mannitol,repoDB
50,705,593201,luminate,AACT
51,707,617071,ino-3112,AACT
52,708,515393,fluoride,AACT
53,712,10110895,jnj 10229570,PubChem
54,713,DB00641,simvastatin,repoDB
55,715,DB09325,sodium fluoride,repoDB
56,716,700995,pa21,AACT
57,721,523264,s-carboxymethyl-l-cysteine l-lysine monohydrate,AACT
58,722,2568,tauroline,Drug Central
59,724,DB00331,metformin,DrugBank
60,726,604735,pf-06649751,AACT
61,734,586922,mtc896,AACT
62,736,DB01137,levofloxacin,repoDB
63,737,DB00586,diclofenac,repoDB
64,753,CHEMBL1783282,azd-7325,ChEMBL
65,761,DB00973,ezetimibe,repoDB
66,765,530505,gsk2230672,AACT
67,766,481730,apap,AACT
68,769,3961,noltec,Drug Central
69,773,DB01065,melatonin,repoDB
70,778,610956,mk-8591,AACT
71,780,,ocaliva,nme
72,781,DB00956,hydrocodone,repoDB
73,785,DB11814,pf-03882845,DrugBank
74,787,583664,pf-06412562,AACT
75,790,2413,rupax,Drug Central
76,793,DB00471,montelukast,repoDB
77,794,783860,tzp-102,AACT
78,796,564080,epsi-gam,AACT
79,797,515954,humanized anti-pd-1 mab,AACT
80,798,DB01174,phenobarbital,repoDB
81,799,594275,lpathomab,AACT
82,801,524251,3bnc117,AACT
83,810,781412,ringer's lactate,AACT
84,814,728147,human placenta-derived cells,AACT
85,821,676891,arginine hydrochloride-r-gene 10,AACT
86,825,636613,east indian sandalwood oil,AACT
87,829,825390,imidazole-4-carboxylic acid,AACT
88,833,1628,maltose,Drug Central
89,834,DB00916,metronidazole,repoDB
90,837,2146,phenylephrine hydrochloride,Drug Central
91,840,524932,vda-1102,AACT
92,841,855342,chlorhexidine acetate,AACT
93,846,570677,10-1074,AACT
94,856,858792,gsk513026,AACT
95,861,725367,azd5069,AACT
96,870,1215,katadolon,Drug Central
97,875,DB11966,bms-986094,DrugBank
98,892,DB00669,sumatriptan,repoDB
99,900,DB09154,sodium citrate,repoDB
100,903,DB00484,brimonidine,repoDB
101,907,DB12583,maltodextrin,DrugBank
102,914,23727689;11627655;50878577;44148935,almorexant,PubChem
103,915,687235,iron isomaltoside,AACT
104,917,509552,crystalloid colloid,AACT
105,925,924833,gsk2445053,AACT
106,931,DB12534,mavrilimumab,DrugBank
107,938,717948,inactivated ev71 vaccine,AACT
108,942,845123,phosphorothiolate oligodeoxyribonucleotide,AACT
109,945,843156,103-palladium,AACT
110,957,749226,n6022,AACT
111,960,,colloidal silver,nme
112,964,917625,pmis mir200a plasmid,AACT
113,965,917623,psil-mir200c,AACT
114,968,,prostascint,nme
115,969,880200,111in-dota-cg250,AACT
116,970,599547,111in-imp-288,AACT
117,972,839717,111in zevalin,AACT
118,973,817438,111in-bu-12,AACT
119,976,708059,111in-daclizumab,AACT
120,977,566496,111in-exendin,AACT
121,978,885583,111in-idec-159,AACT
122,980,590849,111in-labeled dendritic cells,AACT
123,981,DB11659,indium,DrugBank
124,982,823119,111indium-cg250,AACT
125,987,887206,fgf-5,AACT
126,1001,72941716;11662986,cholylsarcosine,PubChem
127,1002,678178,l-deprenyl-d2,AACT
128,1005,3347,s-methionine,Drug Central
129,1006,617524,mk-3168,AACT
130,1007,804409,orm-13070,AACT
131,1011,DB12519,sarcosine,DrugBank
132,1012,536888,11betamethyl nortestosterone dodecylcarbonate,AACT
